Medu,Fedu,higher,studytime,absences,failures,Final_Grade
1,1,yes,Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,0,yes,Medium,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,0,yes,Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,1,yes,Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
0,1,yes,Low,Low,0,Pass
1,1,yes,Low,Low,0,Pass
0,0,yes,Medium,Low,0,Pass
1,1,yes,Very Low,Low,0,Pass
1,0,yes,Low,Low,0,Pass
0,0,yes,Medium,Low,0,Pass
1,1,yes,Very Low,Low,0,Pass
1,1,yes,Medium,Low,0,Pass
0,0,yes,Low,Low,0,Pass
0,0,yes,Very Low,Low,More than 1,Fail
1,0,yes,Very Low,Low,0,Pass
1,0,yes,Low,Low,0,Pass
1,1,yes,Very Low,Low,0,Pass
1,0,yes,Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
0,1,yes,Medium,Low,0,Pass
0,0,yes,Very Low,Low,0,Pass
0,0,yes,Very Low,Low,0,Pass
1,0,yes,Very Low,Low,0,Pass
0,1,yes,Low,Low,0,Pass
1,1,yes,Low,Low,0,Pass
1,1,yes,Low,Low,0,Pass
1,1,yes,Low,Low,0,Pass
1,0,yes,Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
0,0,yes,Very Low,Low,0,Pass
0,0,yes,Very Low,Low,0,Pass
1,0,yes,Medium,Low,0,Pass
1,1,yes,Medium,Low,0,Pass
0,1,yes,Medium,Low,0,Pass
0,0,yes,Very Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,1,yes,Very Low,Low,0,Pass
1,1,yes,Low,Low,0,Pass
0,0,yes,Very Low,Low,0,Pass
0,0,yes,Low,Low,1,Pass
1,0,yes,Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,0,yes,High,Low,0,Pass
1,0,yes,Low,Low,0,Pass
1,1,yes,Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,0,yes,Low,Low,0,Pass
1,0,yes,Very Low,Low,0,Fail
1,1,yes,Very Low,Low,0,Pass
0,0,yes,Very Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,0,yes,Low,Low,0,Pass
1,1,yes,Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,0,yes,Low,Low,0,Pass
1,1,yes,Low,Low,0,Pass
0,0,yes,Very Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,0,yes,Medium,Low,0,Pass
1,0,yes,Low,Low,0,Pass
1,0,yes,Low,Low,0,Pass
1,1,yes,High,Low,0,Pass
0,0,yes,High,Low,0,Pass
0,0,yes,Low,Low,0,Pass
0,0,yes,High,Low,0,Pass
0,0,yes,High,Low,0,Pass
1,0,yes,High,Low,0,Pass
0,0,yes,Low,Low,0,Pass
0,0,yes,Very Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,0,yes,Low,Low,0,Pass
1,0,yes,High,Low,0,Pass
0,0,yes,High,Low,0,Pass
0,0,no,Very Low,Low,More than 1,Pass
0,1,yes,Low,Low,0,Pass
0,0,yes,Very Low,Low,0,Pass
0,0,yes,Medium,Low,0,Fail
0,0,yes,Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,1,yes,Low,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,0,yes,Medium,Low,0,Pass
0,0,yes,Low,Low,0,Pass
1,1,yes,Low,Low,0,Pass
